date,details_link,hood,lat,lon,misc,price,title
Jun  3,https://newyork.craigslist.org/que/reb/d/valley-stream-virtual-open-house-sunday/7135097836.html, (N. WOODMERE),,,,$899000,VIRTUAL OPEN HOUSE SUNDAY JUNE 7TH FROM 12pm TO 1230pm
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7135097734.html, (highland park),,,,$635000,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-studioown-for-cheaper-than-rent/7132259250.html, (>>>BAY RIDGE),,,,$199000,>>STUDIO>>OWN FOR CHEAPER THAN RENT!!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-affordable-studioprime-bay/7135097334.html, (>>>BAY RIDGE),,,,$199000,>>>AFFORDABLE STUDIO>>PRIME BAY RIDGE!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7135097280.html, (canarsie),,,,$214900,bank reo sale! cash offers! vacant
Jun  3,https://newyork.craigslist.org/que/reo/d/fresh-meadows-newly-renovated-2bd-apt/7135097124.html,,,,,$1990,Newly renovated 2bd apt with private yard for rent
Jun  3,https://newyork.craigslist.org/que/reo/d/jamaica-lovely-studio-in-elevator/7135097058.html, (JAMAICA ESTATES),,,,$1495,"LOVELY STUDIO IN ELEVATOR BUILDING - BY THE ""F"" TRAIN"
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-3bd-condo2-floors1500-sqftwow/7132259033.html, (>>CROWN HEIGHTS),,,,$899000,>>>3BD CONDO>>2 FLOORS>>1500 SQFT>>WOW!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7135096898.html, (canarsie),,,,$214900,bank reo sale! cash offers! vacant
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-3bd-duplex-condo-with-private/7135096813.html, (>>>CROWN HEIGHTS),,,,$899000,>>3BD DUPLEX CONDO / WITH PRIVATE YARD!
Jun  3,https://newyork.craigslist.org/brk/reb/d/staten-island-brownstone-3-familyprime/7132369378.html, (>>>>BROOKLYN),,,,$2799000,>>BROWNSTONE - 3 FAMILY>>PRIME FORT GREENE>>WOW!
Jun  3,https://newyork.craigslist.org/brk/reb/d/staten-island-incredible-opportunity3/7135096230.html, (>>>>FORT GREENE BROOKLYN),,,,$2799000,>>>INCREDIBLE OPPORTUNITY__3 FAMILY BROWNSTONE!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-renovated-2-family/7133433067.html, (close to a beautiful park),-73.894000,40.670500,,$879000,Renovated 2 family
Jun  3,https://newyork.craigslist.org/brk/reo/d/open-house-today-until-9pm-dream/7124774643.html,,-73.894000,40.670500,,$1480,■■■OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER
Jun  3,https://newyork.craigslist.org/stn/reb/d/staten-island-perfect-starter-homemove/7132369103.html, (>>>>>STATEN ISLAND>),-73.894000,40.670500,,$588000,>>>>PERFECT STARTER  HOME>>MOVE RIGHT IN!
Jun  3,https://newyork.craigslist.org/que/reb/d/rosedale-all-new-big-2-family-great/7128493413.html, (Water View (VIDEO)),-73.894000,40.670500,,$859000,"All New BIG 2 family, GREAT PRICE!"
Jun  3,https://newyork.craigslist.org/stn/reb/d/staten-island-wow-must-see-1-famgreat/7135095709.html, (>>>>>STATEN ISLAND),-73.894000,40.670500,,$588000,>>>WOW! MUST SEE 1 FAM>>GREAT LOCATION!
Jun  3,https://newyork.craigslist.org/brk/reo/d/move-by-the-20th-of-the-monthguarenteed/7124778682.html,,-73.894000,40.670500,,$1557,Move by the 20th of the month......guarenteed!!!!!!! - WEST 106TH ST
Jun  3,https://newyork.craigslist.org/brk/reo/d/open-house-today-until-9pm-dream/7124773020.html,,-73.894000,40.670500,,$1480,■■■OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER
Jun  3,https://newyork.craigslist.org/mnh/reo/d/new-york-spacious-studio-steps-to/7135095384.html, (Inwood / Wash Hts),-73.894000,40.670500,,$1700,SPACIOUS / STUDIO / - STEPS TO SUBWAY !!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-all-new-big-detached-2-family/7128493095.html, (Queens/GREAT PRICE!),-73.894000,40.670500,,$859000,All New BIG detached 2 family (VIDEO)
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7130178059.html, (canarsie),-73.894000,40.670500,,$214900,bank reo sale! cash offers! vacant
Jun  3,https://newyork.craigslist.org/brx/reo/d/bronx-2br-prime-moshulu-parkway-next-to/7135095017.html, (BRONX - NORWOOD),-73.894000,40.670500,,$1895,2BR - PRIME MOSHULU PARKWAY - NEXT TO MONTEFIORE HOSPITAL
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-renovated-big-2-family-in-east/7120118053.html," (A, C, & J subway)",-73.894000,40.670500,,$929000,Renovated BIG 2 family in East NY/Cypress (VIDEO)
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7120004747.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7122414360.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7122414722.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7120004830.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7122415809.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7122143840.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7122144015.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/all-programs-vouchers-ok/7131553288.html,,-73.894000,40.670500,,$1660,💟ALL PROGRAMS/VOUCHERS ok💟         www.movetodaynyc.com   $39.99 o
Jun  3,https://newyork.craigslist.org/brx/reo/d/bronx-1br-prime-moshulu-parkway-next-to/7135094768.html, (BRONX - NORWOOD),-73.894000,40.670500,,$1625,1BR - PRIME MOSHULU PARKWAY - NEXT TO MONTEFIORE HOSPITAL
Jun  3,https://newyork.craigslist.org/mnh/reo/d/new-york-furnished-2-bedroom-hells/7123880194.html, (Midtown),-73.894000,40.670500,,$2850,Furnished 2 Bedroom Hells Kitchen NYC Apartment for Rent - No fee
